Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [4][ 80/206]	Time (s):  1.007	Loss: -0.5627
Epoch: [4][ 90/206]	Time (s):  1.005	Loss: -0.5736
Epoch: [4][100/206]	Time (s):  1.004	Loss: -0.8636
Epoch: [4][110/206]	Time (s):  1.000	Loss: -0.5876
Epoch: [4][120/206]	Time (s):  1.003	Loss: -0.5615
Epoch: [4][130/206]	Time (s):  0.998	Loss: -0.6535
Epoch: [4][140/206]	Time (s):  1.001	Loss: -0.6651
Epoch: [4][150/206]	Time (s):  0.998	Loss: -0.6774
Epoch: [4][160/206]	Time (s):  1.005	Loss: -0.7906
Epoch: [4][170/206]	Time (s):  1.000	Loss: -0.7946
Epoch: [4][180/206]	Time (s):  0.992	Loss: -0.5924
Epoch: [4][190/206]	Time (s):  1.436	Loss: -0.6241
Epoch: [4][200/206]	Time (s):  1.117	Loss: -0.6876
Checkpoint 4 saved.
Epoch: [5][  0/206]	Time (s): 22.529	Loss: -0.6256
Epoch: [5][ 10/206]	Time (s):  1.003	Loss: -0.7434
Epoch: [5][ 20/206]	Time (s):  1.061	Loss: -0.7845
Epoch: [5][ 30/206]	Time (s):  1.001	Loss: -0.7320
Epoch: [5][ 40/206]	Time (s):  1.252	Loss: -0.5731
Epoch: [5][ 50/206]	Time (s):  1.020	Loss: -0.6543
Epoch: [5][ 60/206]	Time (s):  1.253	Loss: -0.7062
Epoch: [5][ 70/206]	Time (s):  1.002	Loss: -0.7258
Epoch: [5][ 80/206]	Time (s):  1.006	Loss: -0.6518
Epoch: [5][ 90/206]	Time (s):  1.149	Loss: -0.5520
Epoch: [5][100/206]	Time (s):  1.285	Loss: -0.7066
Epoch: [5][110/206]	Time (s):  1.004	Loss: -0.7537
Epoch: [5][120/206]	Time (s):  1.277	Loss: -0.6757
Epoch: [5][130/206]	Time (s):  1.301	Loss: -0.6284
Epoch: [5][140/206]	Time (s):  0.992	Loss: -0.6372
Epoch: [5][150/206]	Time (s):  0.996	Loss: -0.5783
Epoch: [5][160/206]	Time (s):  1.001	Loss: -0.7751
Epoch: [5][170/206]	Time (s):  1.173	Loss: -0.7088
Epoch: [5][180/206]	Time (s):  1.663	Loss: -0.5590
