Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [0][  0/314]	Time (s):  7.387	Loss: -0.3217
Epoch: [0][ 10/314]	Time (s):  0.513	Loss: -0.0409
Epoch: [0][ 20/314]	Time (s):  0.508	Loss: -0.0670
Epoch: [0][ 30/314]	Time (s):  0.503	Loss: -0.0435
Epoch: [0][ 40/314]	Time (s):  0.506	Loss: -0.0538
Epoch: [0][ 50/314]	Time (s):  0.506	Loss: -0.0654
Epoch: [0][ 60/314]	Time (s):  0.507	Loss: -0.0647
Epoch: [0][ 70/314]	Time (s):  0.507	Loss: -0.0352
Epoch: [0][ 80/314]	Time (s):  0.506	Loss: -0.0708
Epoch: [0][ 90/314]	Time (s):  0.507	Loss: -0.1138
Epoch: [0][100/314]	Time (s):  0.507	Loss: -0.0686
Epoch: [0][110/314]	Time (s):  0.506	Loss: -0.0858
Epoch: [0][120/314]	Time (s):  0.506	Loss: -0.0795
Epoch: [0][130/314]	Time (s):  0.505	Loss: -0.0454
Epoch: [0][140/314]	Time (s):  0.512	Loss: -0.0835
Epoch: [0][150/314]	Time (s):  0.509	Loss: -0.1220
Epoch: [0][160/314]	Time (s):  0.526	Loss: -0.1649
Epoch: [0][170/314]	Time (s):  0.551	Loss: -0.1871
Epoch: [0][180/314]	Time (s):  0.596	Loss: -0.1993
Epoch: [0][190/314]	Time (s):  0.666	Loss: -0.2726
Epoch: [0][200/314]	Time (s):  0.712	Loss: -0.2906
Epoch: [0][210/314]	Time (s):  0.772	Loss: -0.2396
Epoch: [0][220/314]	Time (s):  0.811	Loss: -0.2637
Epoch: [0][230/314]	Time (s):  0.851	Loss: -0.2684
Epoch: [0][240/314]	Time (s):  0.860	Loss: -0.2062
Epoch: [0][250/314]	Time (s):  0.835	Loss: -0.0442
Epoch: [0][260/314]	Time (s):  0.837	Loss: -0.3049
Epoch: [0][270/314]	Time (s):  0.768	Loss: -0.1179
Epoch: [0][280/314]	Time (s):  0.762	Loss: -0.3040
Epoch: [0][290/314]	Time (s):  0.762	Loss: -0.5119
Epoch: [0][300/314]	Time (s):  0.739	Loss: -0.5056
Epoch: [0][310/314]	Time (s):  0.700	Loss: -0.5072
Epoch: [1][  0/314]	Time (s):  6.483	Loss: -0.5309
Epoch: [1][ 10/314]	Time (s):  0.503	Loss: -0.3198
Epoch: [1][ 20/314]	Time (s):  0.505	Loss: -0.5067
Epoch: [1][ 30/314]	Time (s):  0.502	Loss: -0.5565
Epoch: [1][ 40/314]	Time (s):  0.509	Loss: -0.4362
Epoch: [1][ 50/314]	Time (s):  0.507	Loss: -0.4973
Epoch: [1][ 60/314]	Time (s):  0.510	Loss: -0.4578
Epoch: [1][ 70/314]	Time (s):  0.514	Loss: -0.4212
Epoch: [1][ 80/314]	Time (s):  0.524	Loss: -0.5462
Epoch: [1][ 90/314]	Time (s):  0.557	Loss: -0.4034
Epoch: [1][100/314]	Time (s):  0.606	Loss: -0.7673
Epoch: [1][110/314]	Time (s):  0.671	Loss: -0.5763
Epoch: [1][120/314]	Time (s):  0.737	Loss: -0.5033
Epoch: [1][130/314]	Time (s):  0.827	Loss: -0.6877
Epoch: [1][140/314]	Time (s):  0.908	Loss: -0.5425
Epoch: [1][150/314]	Time (s):  0.898	Loss: -0.6980
Epoch: [1][160/314]	Time (s):  0.877	Loss: -0.7291
Epoch: [1][170/314]	Time (s):  0.840	Loss: -0.8577
Epoch: [1][180/314]	Time (s):  0.845	Loss: -0.6691
Epoch: [1][190/314]	Time (s):  0.797	Loss: -0.6638
Epoch: [1][200/314]	Time (s):  0.767	Loss: -0.5335
Epoch: [1][210/314]	Time (s):  0.797	Loss: -0.4889
Epoch: [1][220/314]	Time (s):  0.783	Loss: -0.8685
Epoch: [1][230/314]	Time (s):  0.769	Loss: -0.9283
Epoch: [1][240/314]	Time (s):  0.750	Loss: -0.9309
Epoch: [1][250/314]	Time (s):  0.760	Loss: -0.6843
Epoch: [1][260/314]	Time (s):  0.781	Loss: -0.7105
Epoch: [1][270/314]	Time (s):  0.792	Loss: -0.4167
Epoch: [1][280/314]	Time (s):  0.794	Loss: -0.4530
Epoch: [1][290/314]	Time (s):  0.822	Loss: -0.9331
Epoch: [1][300/314]	Time (s):  0.753	Loss: -0.5508
Epoch: [1][310/314]	Time (s):  0.715	Loss: -0.7187
Epoch: [2][  0/314]	Time (s):  6.482	Loss: -0.4442
Epoch: [2][ 10/314]	Time (s):  0.501	Loss: -0.7079
Epoch: [2][ 20/314]	Time (s):  0.498	Loss: -0.6959
Epoch: [2][ 30/314]	Time (s):  0.502	Loss: -0.8255
Epoch: [2][ 40/314]	Time (s):  0.501	Loss: -0.7194
Epoch: [2][ 50/314]	Time (s):  0.499	Loss: -0.9662
Epoch: [2][ 60/314]	Time (s):  0.504	Loss: -0.7301
Epoch: [2][ 70/314]	Time (s):  0.506	Loss: -0.6390
Epoch: [2][ 80/314]	Time (s):  0.517	Loss: -0.7550
Epoch: [2][ 90/314]	Time (s):  0.551	Loss: -0.7337
Epoch: [2][100/314]	Time (s):  0.599	Loss: -0.7301
Epoch: [2][110/314]	Time (s):  0.690	Loss: 0.0381
Epoch: [2][120/314]	Time (s):  0.734	Loss: -0.9851
Epoch: [2][130/314]	Time (s):  0.822	Loss: -0.4811
Epoch: [2][140/314]	Time (s):  0.906	Loss: -0.7486
Epoch: [2][150/314]	Time (s):  0.906	Loss: -0.3987
Epoch: [2][160/314]	Time (s):  0.886	Loss: -0.7388
Epoch: [2][170/314]	Time (s):  0.882	Loss: -0.9918
Epoch: [2][180/314]	Time (s):  0.860	Loss: -0.2648
Epoch: [2][190/314]	Time (s):  0.826	Loss: -0.4786
Epoch: [2][200/314]	Time (s):  0.800	Loss: -0.9926
Epoch: [2][210/314]	Time (s):  0.785	Loss: -0.6709
Epoch: [2][220/314]	Time (s):  0.765	Loss: -0.5571
Epoch: [2][230/314]	Time (s):  0.763	Loss: -0.3553
Epoch: [2][240/314]	Time (s):  0.758	Loss: -0.6372
Epoch: [2][250/314]	Time (s):  0.773	Loss: -0.8287
Epoch: [2][260/314]	Time (s):  0.771	Loss: -0.9552
Epoch: [2][270/314]	Time (s):  0.795	Loss: -0.7390
Epoch: [2][280/314]	Time (s):  0.738	Loss: -0.7414
Epoch: [2][290/314]	Time (s):  0.741	Loss: -0.0166
Epoch: [2][300/314]	Time (s):  0.748	Loss: -0.3876
Epoch: [2][310/314]	Time (s):  0.714	Loss: -0.4176
