Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [0][  0/157]	Time (s):  7.749	Loss: -0.3907
Epoch: [0][ 10/157]	Time (s):  0.917	Loss: -0.0680
Epoch: [0][ 20/157]	Time (s):  0.913	Loss: -0.0677
Epoch: [0][ 30/157]	Time (s):  0.909	Loss: -0.0725
Epoch: [0][ 40/157]	Time (s):  0.908	Loss: -0.0533
Epoch: [0][ 50/157]	Time (s):  0.913	Loss: -0.0389
Epoch: [0][ 60/157]	Time (s):  0.917	Loss: -0.0247
Epoch: [0][ 70/157]	Time (s):  0.910	Loss: -0.0930
Epoch: [0][ 80/157]	Time (s):  0.910	Loss: -0.0590
Epoch: [0][ 90/157]	Time (s):  0.913	Loss: -0.1490
Epoch: [0][100/157]	Time (s):  0.914	Loss: -0.1325
Epoch: [0][110/157]	Time (s):  0.916	Loss: -0.1821
Epoch: [0][120/157]	Time (s):  0.914	Loss: -0.1804
Epoch: [0][130/157]	Time (s):  0.917	Loss: -0.1740
Epoch: [0][140/157]	Time (s):  0.918	Loss: -0.1880
Epoch: [0][150/157]	Time (s):  0.914	Loss: -0.1671
Epoch: [1][  0/157]	Time (s):  6.982	Loss: -0.2156
Epoch: [1][ 10/157]	Time (s):  0.909	Loss: -0.2339
Epoch: [1][ 20/157]	Time (s):  0.907	Loss: -0.2137
Epoch: [1][ 30/157]	Time (s):  0.907	Loss: -0.1563
Epoch: [1][ 40/157]	Time (s):  0.910	Loss: -0.2446
Epoch: [1][ 50/157]	Time (s):  0.912	Loss: -0.2170
Epoch: [1][ 60/157]	Time (s):  0.913	Loss: -0.2331
Epoch: [1][ 70/157]	Time (s):  0.910	Loss: -0.1655
Epoch: [1][ 80/157]	Time (s):  0.912	Loss: -0.3096
Epoch: [1][ 90/157]	Time (s):  0.913	Loss: -0.3541
Epoch: [1][100/157]	Time (s):  0.918	Loss: -0.2833
Epoch: [1][110/157]	Time (s):  0.913	Loss: -0.3150
Epoch: [1][120/157]	Time (s):  0.919	Loss: -0.1783
Epoch: [1][130/157]	Time (s):  0.914	Loss: -0.4177
Epoch: [1][140/157]	Time (s):  0.925	Loss: -0.2717
Epoch: [1][150/157]	Time (s):  0.921	Loss: -0.4362
Epoch: [2][  0/157]	Time (s):  6.986	Loss: -0.4212
Epoch: [2][ 10/157]	Time (s):  0.911	Loss: -0.3987
Epoch: [2][ 20/157]	Time (s):  0.913	Loss: -0.4340
