Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [0][ 880/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][ 890/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [0][ 900/1256]	Time (s):  0.197	Loss: -0.9805
Epoch: [0][ 910/1256]	Time (s):  0.193	Loss: 0.9992
Epoch: [0][ 920/1256]	Time (s):  0.194	Loss: 0.9994
Epoch: [0][ 930/1256]	Time (s):  0.194	Loss: 0.9994
Epoch: [0][ 940/1256]	Time (s):  0.212	Loss: -0.9995
Epoch: [0][ 950/1256]	Time (s):  0.194	Loss: 0.9998
Epoch: [0][ 960/1256]	Time (s):  0.195	Loss: -0.9999
Epoch: [0][ 970/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [0][ 980/1256]	Time (s):  0.195	Loss: -1.0000
Epoch: [0][ 990/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][1000/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1010/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1020/1256]	Time (s):  0.193	Loss: -0.9799
Epoch: [0][1030/1256]	Time (s):  0.193	Loss: -0.9996
Epoch: [0][1040/1256]	Time (s):  0.194	Loss: -0.9996
Epoch: [0][1050/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][1060/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1070/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1080/1256]	Time (s):  0.194	Loss: -1.0000
Epoch: [0][1090/1256]	Time (s):  0.194	Loss: -1.0000
Epoch: [0][1100/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][1110/1256]	Time (s):  0.194	Loss: -0.9794
Epoch: [0][1120/1256]	Time (s):  0.193	Loss: -0.9990
Epoch: [0][1130/1256]	Time (s):  0.194	Loss: -0.9993
Epoch: [0][1140/1256]	Time (s):  0.194	Loss: -0.9995
Epoch: [0][1150/1256]	Time (s):  0.195	Loss: -0.9997
Epoch: [0][1160/1256]	Time (s):  0.194	Loss: 0.9993
Epoch: [0][1170/1256]	Time (s):  0.194	Loss: -0.9995
Epoch: [0][1180/1256]	Time (s):  0.193	Loss: -0.9998
Epoch: [0][1190/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][1200/1256]	Time (s):  0.193	Loss: 0.9950
Epoch: [0][1210/1256]	Time (s):  0.194	Loss: -0.9999
Epoch: [0][1220/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [0][1230/1256]	Time (s):  0.202	Loss: 0.9969
Epoch: [0][1240/1256]	Time (s):  0.195	Loss: -0.9991
Epoch: [0][1250/1256]	Time (s):  0.192	Loss: 0.9892
Epoch: [1][   0/1256]	Time (s):  6.293	Loss: -1.0000
Epoch: [1][  10/1256]	Time (s):  0.190	Loss: -1.0000
Epoch: [1][  20/1256]	Time (s):  0.233	Loss: 0.9999
Epoch: [1][  30/1256]	Time (s):  0.191	Loss: 0.9998
Epoch: [1][  40/1256]	Time (s):  0.193	Loss: -0.9998
Epoch: [1][  50/1256]	Time (s):  0.190	Loss: 0.9803
Epoch: [1][  60/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [1][  70/1256]	Time (s):  0.191	Loss: 0.9996
Epoch: [1][  80/1256]	Time (s):  0.195	Loss: -0.9999
Epoch: [1][  90/1256]	Time (s):  0.192	Loss: -0.9998
Epoch: [1][ 100/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 110/1256]	Time (s):  0.195	Loss: -0.9660
Epoch: [1][ 120/1256]	Time (s):  0.192	Loss: -0.9984
Epoch: [1][ 130/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 140/1256]	Time (s):  0.190	Loss: -1.0000
Epoch: [1][ 150/1256]	Time (s):  0.191	Loss: 0.9948
Epoch: [1][ 160/1256]	Time (s):  0.190	Loss: -0.9997
Epoch: [1][ 170/1256]	Time (s):  0.195	Loss: -1.0000
Epoch: [1][ 180/1256]	Time (s):  0.207	Loss: 0.9956
Epoch: [1][ 190/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 200/1256]	Time (s):  0.191	Loss: -1.0000
Epoch: [1][ 210/1256]	Time (s):  0.189	Loss: -1.0000
Epoch: [1][ 220/1256]	Time (s):  0.190	Loss: -1.0000
Epoch: [1][ 230/1256]	Time (s):  0.194	Loss: 0.9979
Epoch: [1][ 240/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 250/1256]	Time (s):  0.192	Loss: -0.9891
Epoch: [1][ 260/1256]	Time (s):  0.190	Loss: -0.9997
Epoch: [1][ 270/1256]	Time (s):  0.198	Loss: -0.9998
Epoch: [1][ 280/1256]	Time (s):  0.194	Loss: -0.9998
Epoch: [1][ 290/1256]	Time (s):  0.191	Loss: 0.9998
Epoch: [1][ 300/1256]	Time (s):  0.190	Loss: -0.9998
Epoch: [1][ 310/1256]	Time (s):  0.191	Loss: -0.9998
Epoch: [1][ 320/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 330/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 340/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 350/1256]	Time (s):  0.196	Loss: -1.0000
Epoch: [1][ 360/1256]	Time (s):  0.191	Loss: 0.9999
Epoch: [1][ 370/1256]	Time (s):  0.191	Loss: -1.0000
Epoch: [1][ 380/1256]	Time (s):  0.192	Loss: -0.9982
Epoch: [1][ 390/1256]	Time (s):  0.191	Loss: -0.9984
Epoch: [1][ 400/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 410/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 420/1256]	Time (s):  0.205	Loss: -1.0000
Epoch: [1][ 430/1256]	Time (s):  0.191	Loss: -0.9979
Epoch: [1][ 440/1256]	Time (s):  0.191	Loss: -1.0000
Epoch: [1][ 450/1256]	Time (s):  0.190	Loss: -0.9738
Epoch: [1][ 460/1256]	Time (s):  0.189	Loss: 0.9995
Epoch: [1][ 470/1256]	Time (s):  0.189	Loss: -0.9995
Epoch: [1][ 480/1256]	Time (s):  0.192	Loss: -0.9690
Epoch: [1][ 490/1256]	Time (s):  0.191	Loss: -0.9998
Epoch: [1][ 500/1256]	Time (s):  0.191	Loss: -0.9939
Epoch: [1][ 510/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 520/1256]	Time (s):  0.191	Loss: -0.9996
Epoch: [1][ 530/1256]	Time (s):  0.190	Loss: 0.9997
Epoch: [1][ 540/1256]	Time (s):  0.191	Loss: 0.9996
Epoch: [1][ 550/1256]	Time (s):  0.191	Loss: -0.9997
Epoch: [1][ 560/1256]	Time (s):  0.191	Loss: 0.9998
