Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [11][60/78]	Time (s):  0.611	Loss: -0.7658
Epoch: [11][70/78]	Time (s):  0.602	Loss: -0.7276
Epoch: [12][ 0/78]	Time (s): 20.130	Loss: -0.8688
Epoch: [12][10/78]	Time (s):  0.607	Loss: -0.7269
Epoch: [12][20/78]	Time (s):  0.630	Loss: -0.7434
Epoch: [12][30/78]	Time (s):  0.604	Loss: -0.9079
Epoch: [12][40/78]	Time (s):  0.635	Loss: -0.7237
Epoch: [12][50/78]	Time (s):  0.611	Loss: -0.8484
Epoch: [12][60/78]	Time (s):  0.608	Loss: -0.6095
Epoch: [12][70/78]	Time (s):  0.605	Loss: -0.7890
Epoch: [13][ 0/78]	Time (s): 21.304	Loss: -0.7226
Epoch: [13][10/78]	Time (s):  0.603	Loss: -0.6143
Epoch: [13][20/78]	Time (s):  0.623	Loss: -0.8839
Epoch: [13][30/78]	Time (s):  0.598	Loss: -0.7195
Epoch: [13][40/78]	Time (s):  0.609	Loss: -0.6116
Epoch: [13][50/78]	Time (s):  0.611	Loss: -0.7499
Epoch: [13][60/78]	Time (s):  0.605	Loss: -0.7911
Epoch: [13][70/78]	Time (s):  0.661	Loss: -0.8833
Epoch: [14][ 0/78]	Time (s): 20.714	Loss: -0.7391
Epoch: [14][10/78]	Time (s):  0.609	Loss: -0.6652
Epoch: [14][20/78]	Time (s):  0.599	Loss: -0.7449
Epoch: [14][30/78]	Time (s):  0.607	Loss: -0.7639
Epoch: [14][40/78]	Time (s):  0.608	Loss: -0.8715
Epoch: [14][50/78]	Time (s):  0.621	Loss: -0.7583
Epoch: [14][60/78]	Time (s):  0.632	Loss: -0.8082
Epoch: [14][70/78]	Time (s):  0.605	Loss: -0.8991
Checkpoint 14 saved.
Epoch: [15][ 0/78]	Time (s): 23.678	Loss: -0.7487
Epoch: [15][10/78]	Time (s):  0.608	Loss: -0.8331
Epoch: [15][20/78]	Time (s):  0.608	Loss: -0.8022
Epoch: [15][30/78]	Time (s):  0.607	Loss: -0.8447
Epoch: [15][40/78]	Time (s):  0.608	Loss: -0.6413
Epoch: [15][50/78]	Time (s):  0.618	Loss: -0.8243
Epoch: [15][60/78]	Time (s):  0.607	Loss: -0.8755
Epoch: [15][70/78]	Time (s):  0.609	Loss: -0.8096
Epoch: [16][ 0/78]	Time (s): 20.349	Loss: -0.7732
Epoch: [16][10/78]	Time (s):  0.613	Loss: -0.6698
Epoch: [16][20/78]	Time (s):  0.733	Loss: -0.7913
Epoch: [16][30/78]	Time (s):  0.699	Loss: -0.8967
Epoch: [16][40/78]	Time (s):  0.663	Loss: -0.6238
Epoch: [16][50/78]	Time (s):  0.635	Loss: -0.8270
Epoch: [16][60/78]	Time (s):  0.626	Loss: -0.7450
Epoch: [16][70/78]	Time (s):  0.606	Loss: -0.5383
Epoch: [17][ 0/78]	Time (s): 21.091	Loss: -0.8188
Epoch: [17][10/78]	Time (s):  0.605	Loss: -0.6997
Epoch: [17][20/78]	Time (s):  0.634	Loss: -0.7757
