Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [1][310/628]	Time (s):  0.335	Loss: -0.9737
Epoch: [1][320/628]	Time (s):  0.345	Loss: -0.9929
Epoch: [1][330/628]	Time (s):  0.363	Loss: 0.0046
Epoch: [1][340/628]	Time (s):  0.385	Loss: -0.4941
Epoch: [1][350/628]	Time (s):  0.396	Loss: -0.9908
Epoch: [1][360/628]	Time (s):  0.430	Loss: -0.9916
Epoch: [1][370/628]	Time (s):  0.454	Loss: -0.0861
Epoch: [1][380/628]	Time (s):  0.410	Loss: -0.9886
Epoch: [1][390/628]	Time (s):  0.437	Loss: -0.9924
Epoch: [1][400/628]	Time (s):  0.449	Loss: -0.4865
Epoch: [1][410/628]	Time (s):  0.435	Loss: -0.5964
Epoch: [1][420/628]	Time (s):  0.442	Loss: -0.9968
Epoch: [1][430/628]	Time (s):  0.411	Loss: -0.9973
Epoch: [1][440/628]	Time (s):  0.399	Loss: -0.9973
Epoch: [1][450/628]	Time (s):  0.421	Loss: -0.9903
Epoch: [1][460/628]	Time (s):  0.423	Loss: -0.9955
Epoch: [1][470/628]	Time (s):  0.398	Loss: -0.9972
Epoch: [1][480/628]	Time (s):  0.384	Loss: -0.7774
Epoch: [1][490/628]	Time (s):  0.431	Loss: -0.9927
Epoch: [1][500/628]	Time (s):  0.397	Loss: -0.3330
Epoch: [1][510/628]	Time (s):  0.378	Loss: -0.0052
Epoch: [1][520/628]	Time (s):  0.393	Loss: 0.0031
Epoch: [1][530/628]	Time (s):  0.395	Loss: -0.7728
Epoch: [1][540/628]	Time (s):  0.396	Loss: -0.4976
Epoch: [1][550/628]	Time (s):  0.387	Loss: -0.9951
Epoch: [1][560/628]	Time (s):  0.387	Loss: 0.0000
Epoch: [1][570/628]	Time (s):  0.403	Loss: -0.9537
Epoch: [1][580/628]	Time (s):  0.429	Loss: -0.2918
Epoch: [1][590/628]	Time (s):  0.388	Loss: -0.5599
Epoch: [1][600/628]	Time (s):  0.380	Loss: -0.3093
Epoch: [1][610/628]	Time (s):  0.401	Loss: -0.0417
Epoch: [1][620/628]	Time (s):  0.383	Loss: -0.9953
Epoch: [2][  0/628]	Time (s):  6.438	Loss: -0.9942
Epoch: [2][ 10/628]	Time (s):  0.296	Loss: -0.9973
Epoch: [2][ 20/628]	Time (s):  0.295	Loss: -0.2304
Epoch: [2][ 30/628]	Time (s):  0.298	Loss: -0.9946
Epoch: [2][ 40/628]	Time (s):  0.294	Loss: -0.9974
Epoch: [2][ 50/628]	Time (s):  0.292	Loss: -0.9721
Epoch: [2][ 60/628]	Time (s):  0.292	Loss: 0.4128
Epoch: [2][ 70/628]	Time (s):  0.292	Loss: 0.4959
Epoch: [2][ 80/628]	Time (s):  0.291	Loss: -0.9921
Epoch: [2][ 90/628]	Time (s):  0.293	Loss: -0.7240
Epoch: [2][100/628]	Time (s):  0.291	Loss: -0.9954
Epoch: [2][110/628]	Time (s):  0.294	Loss: -0.5142
Epoch: [2][120/628]	Time (s):  0.292	Loss: -0.7725
Epoch: [2][130/628]	Time (s):  0.292	Loss: -0.0009
Epoch: [2][140/628]	Time (s):  0.291	Loss: -0.0000
Epoch: [2][150/628]	Time (s):  0.292	Loss: -0.9951
Epoch: [2][160/628]	Time (s):  0.292	Loss: -0.9957
Epoch: [2][170/628]	Time (s):  0.294	Loss: -0.9975
Epoch: [2][180/628]	Time (s):  0.291	Loss: -0.9690
Epoch: [2][190/628]	Time (s):  0.291	Loss: -0.9795
Epoch: [2][200/628]	Time (s):  0.292	Loss: -0.9992
Epoch: [2][210/628]	Time (s):  0.292	Loss: -0.9990
Epoch: [2][220/628]	Time (s):  0.342	Loss: -0.4347
Epoch: [2][230/628]	Time (s):  0.509	Loss: -0.7517
Epoch: [2][240/628]	Time (s):  0.493	Loss: -0.9995
Epoch: [2][250/628]	Time (s):  0.573	Loss: -0.9992
Epoch: [2][260/628]	Time (s):  0.852	Loss: -0.2521
Epoch: [2][270/628]	Time (s):  0.640	Loss: -0.2431
Epoch: [2][280/628]	Time (s):  0.579	Loss: -0.4991
Epoch: [2][290/628]	Time (s):  0.523	Loss: 0.2501
Epoch: [2][300/628]	Time (s):  0.485	Loss: -0.9968
Epoch: [2][310/628]	Time (s):  0.484	Loss: -0.1443
Epoch: [2][320/628]	Time (s):  0.435	Loss: -0.5002
Epoch: [2][330/628]	Time (s):  0.442	Loss: -0.7487
Epoch: [2][340/628]	Time (s):  0.419	Loss: -0.7513
Epoch: [2][350/628]	Time (s):  0.468	Loss: -0.9977
Epoch: [2][360/628]	Time (s):  0.402	Loss: -0.9987
Epoch: [2][370/628]	Time (s):  0.409	Loss: -0.9972
Epoch: [2][380/628]	Time (s):  0.403	Loss: -0.9904
Epoch: [2][390/628]	Time (s):  0.430	Loss: -0.6330
Epoch: [2][400/628]	Time (s):  0.457	Loss: -0.7739
Epoch: [2][410/628]	Time (s):  0.442	Loss: -0.4998
Epoch: [2][420/628]	Time (s):  0.417	Loss: -0.9967
Epoch: [2][430/628]	Time (s):  0.395	Loss: -0.4993
Epoch: [2][440/628]	Time (s):  0.398	Loss: -0.5013
Epoch: [2][450/628]	Time (s):  0.410	Loss: -0.9906
Epoch: [2][460/628]	Time (s):  0.395	Loss: -0.0007
Epoch: [2][470/628]	Time (s):  0.398	Loss: 0.0001
Epoch: [2][480/628]	Time (s):  0.388	Loss: -0.9958
Epoch: [2][490/628]	Time (s):  0.388	Loss: -0.6841
Epoch: [2][500/628]	Time (s):  0.390	Loss: -0.7675
Epoch: [2][510/628]	Time (s):  0.386	Loss: -0.9507
Epoch: [2][520/628]	Time (s):  0.396	Loss: -0.4978
Epoch: [2][530/628]	Time (s):  0.407	Loss: -0.5063
Epoch: [2][540/628]	Time (s):  0.410	Loss: -0.5173
Epoch: [2][550/628]	Time (s):  0.408	Loss: -0.5004
Epoch: [2][560/628]	Time (s):  0.401	Loss: -0.9936
Epoch: [2][570/628]	Time (s):  0.398	Loss: -0.5078
Epoch: [2][580/628]	Time (s):  0.416	Loss: -0.0009
Epoch: [2][590/628]	Time (s):  0.555	Loss: -0.9912
Epoch: [2][600/628]	Time (s):  0.433	Loss: -0.9186
Epoch: [2][610/628]	Time (s):  0.422	Loss: -0.8337
Epoch: [2][620/628]	Time (s):  0.396	Loss: -0.4920
Epoch: [3][  0/628]	Time (s):  6.416	Loss: -0.9992
Epoch: [3][ 10/628]	Time (s):  0.300	Loss: -0.9932
Epoch: [3][ 20/628]	Time (s):  0.298	Loss: -0.4992
Epoch: [3][ 30/628]	Time (s):  0.303	Loss: -0.9990
Epoch: [3][ 40/628]	Time (s):  0.302	Loss: -0.7389
Epoch: [3][ 50/628]	Time (s):  0.297	Loss: -0.9990
Epoch: [3][ 60/628]	Time (s):  0.298	Loss: -0.0269
Epoch: [3][ 70/628]	Time (s):  0.297	Loss: -0.9982
Epoch: [3][ 80/628]	Time (s):  0.298	Loss: -0.9992
Epoch: [3][ 90/628]	Time (s):  0.298	Loss: -0.4997
Epoch: [3][100/628]	Time (s):  0.300	Loss: -0.9995
Epoch: [3][110/628]	Time (s):  0.298	Loss: -0.9995
Epoch: [3][120/628]	Time (s):  0.301	Loss: -0.9997
Epoch: [3][130/628]	Time (s):  0.312	Loss: -0.9980
Epoch: [3][140/628]	Time (s):  0.332	Loss: -0.9994
Epoch: [3][150/628]	Time (s):  0.352	Loss: -0.0002
Epoch: [3][160/628]	Time (s):  0.376	Loss: 0.0004
Epoch: [3][170/628]	Time (s):  0.474	Loss: -0.9983
Epoch: [3][180/628]	Time (s):  0.438	Loss: -0.9994
Epoch: [3][190/628]	Time (s):  0.431	Loss: -0.9993
Epoch: [3][200/628]	Time (s):  0.500	Loss: -0.9989
Epoch: [3][210/628]	Time (s):  0.575	Loss: -0.7119
Epoch: [3][220/628]	Time (s):  0.534	Loss: 0.0002
Epoch: [3][230/628]	Time (s):  0.509	Loss: -0.9966
Epoch: [3][240/628]	Time (s):  0.595	Loss: -0.5001
Epoch: [3][250/628]	Time (s):  0.573	Loss: -0.2226
Epoch: [3][260/628]	Time (s):  0.501	Loss: -0.0012
Epoch: [3][270/628]	Time (s):  0.517	Loss: 0.4990
Epoch: [3][280/628]	Time (s):  0.532	Loss: -0.0270
Epoch: [3][290/628]	Time (s):  0.600	Loss: -0.9950
Epoch: [3][300/628]	Time (s):  0.500	Loss: -0.9962
Epoch: [3][310/628]	Time (s):  0.479	Loss: -0.2518
Epoch: [3][320/628]	Time (s):  0.499	Loss: -0.9944
Epoch: [3][330/628]	Time (s):  0.526	Loss: -0.9979
Epoch: [3][340/628]	Time (s):  0.497	Loss: -0.5089
Epoch: [3][350/628]	Time (s):  0.517	Loss: 0.0001
Epoch: [3][360/628]	Time (s):  0.494	Loss: -0.9986
Epoch: [3][370/628]	Time (s):  0.498	Loss: -0.5296
Epoch: [3][380/628]	Time (s):  0.509	Loss: -0.8349
Epoch: [3][390/628]	Time (s):  0.494	Loss: -0.1470
Epoch: [3][400/628]	Time (s):  0.503	Loss: -0.4988
Epoch: [3][410/628]	Time (s):  0.518	Loss: -0.9985
Epoch: [3][420/628]	Time (s):  0.447	Loss: -0.5086
Epoch: [3][430/628]	Time (s):  0.440	Loss: -0.5017
Epoch: [3][440/628]	Time (s):  0.442	Loss: -0.4907
Epoch: [3][450/628]	Time (s):  0.475	Loss: -0.5079
Epoch: [3][460/628]	Time (s):  0.530	Loss: -0.9960
Epoch: [3][470/628]	Time (s):  0.465	Loss: -0.9973
Epoch: [3][480/628]	Time (s):  0.442	Loss: -0.5009
Epoch: [3][490/628]	Time (s):  0.445	Loss: -0.0086
Epoch: [3][500/628]	Time (s):  0.441	Loss: -0.9953
Epoch: [3][510/628]	Time (s):  0.473	Loss: -0.5085
Epoch: [3][520/628]	Time (s):  0.431	Loss: -0.2725
Epoch: [3][530/628]	Time (s):  0.476	Loss: -0.9979
Epoch: [3][540/628]	Time (s):  0.434	Loss: -0.9977
Epoch: [3][550/628]	Time (s):  0.431	Loss: -0.9543
Epoch: [3][560/628]	Time (s):  0.422	Loss: -0.5219
Epoch: [3][570/628]	Time (s):  0.510	Loss: -0.9986
Epoch: [3][580/628]	Time (s):  0.468	Loss: -0.0031
Epoch: [3][590/628]	Time (s):  0.467	Loss: -0.7150
