Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'efficientnet_v2_s'
Epoch: [11][60/78]	Time (s):  5.356	Loss: -0.8985
Epoch: [11][70/78]	Time (s):  4.916	Loss: -0.8621
Epoch: [12][ 0/78]	Time (s): 18.685	Loss: -0.9045
Epoch: [12][10/78]	Time (s):  5.620	Loss: -0.8897
Epoch: [12][20/78]	Time (s):  6.428	Loss: -0.8984
Epoch: [12][30/78]	Time (s):  4.168	Loss: -0.8654
Epoch: [12][40/78]	Time (s):  5.642	Loss: -0.8746
Epoch: [12][50/78]	Time (s):  5.469	Loss: -0.8785
Epoch: [12][60/78]	Time (s):  5.108	Loss: -0.8868
Epoch: [12][70/78]	Time (s):  4.630	Loss: -0.8862
Epoch: [13][ 0/78]	Time (s): 15.152	Loss: -0.8768
Epoch: [13][10/78]	Time (s):  4.684	Loss: -0.8726
Epoch: [13][20/78]	Time (s):  4.867	Loss: -0.8910
Epoch: [13][30/78]	Time (s):  7.889	Loss: -0.9006
Epoch: [13][40/78]	Time (s):  6.197	Loss: -0.8981
Epoch: [13][50/78]	Time (s):  5.707	Loss: -0.8864
Epoch: [13][60/78]	Time (s):  5.975	Loss: -0.8920
Epoch: [13][70/78]	Time (s):  7.003	Loss: -0.8544
Epoch: [14][ 0/78]	Time (s): 17.266	Loss: -0.9005
Epoch: [14][10/78]	Time (s):  5.316	Loss: -0.8888
Epoch: [14][20/78]	Time (s):  4.351	Loss: -0.8653
Epoch: [14][30/78]	Time (s):  7.112	Loss: -0.9053
Epoch: [14][40/78]	Time (s):  6.203	Loss: -0.8715
Epoch: [14][50/78]	Time (s):  6.355	Loss: -0.8964
Epoch: [14][60/78]	Time (s):  5.955	Loss: -0.8992
Epoch: [14][70/78]	Time (s):  4.943	Loss: -0.8807
Checkpoint 14 saved.
Epoch: [15][ 0/78]	Time (s): 15.020	Loss: -0.8577
Epoch: [15][10/78]	Time (s):  4.973	Loss: -0.9083
Epoch: [15][20/78]	Time (s):  4.523	Loss: -0.8779
Epoch: [15][30/78]	Time (s):  4.706	Loss: -0.8707
Epoch: [15][40/78]	Time (s):  5.004	Loss: -0.8745
Epoch: [15][50/78]	Time (s):  4.765	Loss: -0.8979
Epoch: [15][60/78]	Time (s):  4.361	Loss: -0.8554
Epoch: [15][70/78]	Time (s):  4.064	Loss: -0.8302
Epoch: [16][ 0/78]	Time (s): 14.826	Loss: -0.8968
Epoch: [16][10/78]	Time (s):  5.060	Loss: -0.8828
Epoch: [16][20/78]	Time (s):  5.154	Loss: -0.8836
Epoch: [16][30/78]	Time (s):  5.018	Loss: -0.8860
Epoch: [16][40/78]	Time (s):  4.598	Loss: -0.8954
Epoch: [16][50/78]	Time (s):  4.528	Loss: -0.8883
Epoch: [16][60/78]	Time (s):  4.670	Loss: -0.8713
Epoch: [16][70/78]	Time (s):  4.170	Loss: -0.9011
Epoch: [17][ 0/78]	Time (s): 18.832	Loss: -0.9102
Epoch: [17][10/78]	Time (s):  4.273	Loss: -0.8826
Epoch: [17][20/78]	Time (s):  4.781	Loss: -0.9017
Epoch: [17][30/78]	Time (s):  4.598	Loss: -0.8365
Epoch: [17][40/78]	Time (s):  4.908	Loss: -0.8837
Epoch: [17][50/78]	Time (s):  5.965	Loss: -0.8850
Epoch: [17][60/78]	Time (s):  5.007	Loss: -0.8520
Epoch: [17][70/78]	Time (s):  4.166	Loss: -0.9025
Epoch: [18][ 0/78]	Time (s): 13.385	Loss: -0.9029
Epoch: [18][10/78]	Time (s):  4.395	Loss: -0.8799
